Customer ID,Customer Name,Region,Age Group,Gender,Customer Join Date,Last Purchase Date,Total Orders,Total Purchase Amount,Average Order Value,Product Category Preference,Loyalty Status,Customer Segment,Recency Score,Frequency Score,Monetary Score
C001,Aarav Sharma,North,46-60,M,05-08-2023,19-04-2025,14,121506,8679,Beauty,Silver,To be calculated,,,
C002,Vivaan Sharma,North,60+,M,27-05-2023,27-02-2025,9,40860,4540,Grocery,None,To be calculated,,,
C003,Aditya Sharma,North,36-45,F,27-09-2023,13-08-2025,38,267634,7043,Clothing,Gold,To be calculated,,,
C004,Vihaan Sharma,North,18-25,M,22-05-2023,04-11-2025,32,63648,1989,Electronics,Bronze,To be calculated,,,
C005,Arjun Sharma,North,60+,F,06-06-2023,11-11-2024,44,326304,7416,Electronics,Gold,To be calculated,,,
C006,Sai Sharma,North,60+,F,30-01-2024,26-06-2025,39,318552,8168,Home,Gold,To be calculated,,,
C007,Reyansh Sharma,North,60+,M,20-07-2024,21-07-2024,44,104544,2376,Home,Silver,To be calculated,,,
C008,Krishna Sharma,North,46-60,F,18-10-2024,15-05-2025,8,42464,5308,Clothing,None,To be calculated,,,
C009,Ishaan Sharma,North,60+,M,09-04-2024,04-06-2024,47,226305,4815,Clothing,Gold,To be calculated,,,
C010,Shaurya Sharma,North,60+,F,03-06-2024,17-09-2024,41,220949,5389,Grocery,Gold,To be calculated,,,
C011,Ananya Sharma,North,60+,F,23-07-2023,04-11-2024,24,75504,3146,Grocery,Bronze,To be calculated,,,
C012,Aadhya Sharma,North,18-25,M,01-01-2023,28-04-2025,32,26208,819,Home,None,To be calculated,,,
C013,Diya Sharma,North,60+,F,11-11-2023,01-02-2025,4,17784,4446,Electronics,None,To be calculated,,,
C014,Myra Sharma,North,26-35,F,29-03-2023,11-10-2025,5,46135,9227,Clothing,None,To be calculated,,,
C015,Anika Sharma,North,36-45,F,06-11-2024,30-09-2025,36,115380,3205,Grocery,Silver,To be calculated,,,
C016,Sara Sharma,North,26-35,M,13-09-2024,08-08-2025,14,130690,9335,Home,Silver,To be calculated,,,
C017,Kavya Sharma,North,46-60,M,13-02-2024,18-06-2025,29,260391,8979,Electronics,Gold,To be calculated,,,
C018,Riya Sharma,North,18-25,F,11-09-2023,17-01-2025,5,30195,6039,Grocery,None,To be calculated,,,
C019,Ira Sharma,North,18-25,F,21-07-2024,22-01-2025,38,156104,4108,Electronics,Silver,To be calculated,,,
C020,Meera Sharma,North,18-25,M,25-12-2024,26-12-2024,15,24060,1604,Home,None,To be calculated,,,
C021,Aarav Verma,North,46-60,M,14-03-2023,09-11-2025,16,80992,5062,Clothing,Bronze,To be calculated,,,
C022,Vivaan Verma,North,60+,M,06-07-2024,14-10-2024,47,463185,9855,Beauty,Gold,To be calculated,,,
C023,Aditya Verma,North,18-25,M,06-09-2023,28-09-2025,27,97713,3619,Electronics,Bronze,To be calculated,,,
C024,Vihaan Verma,North,46-60,F,05-11-2024,16-08-2025,23,171097,7439,Beauty,Silver,To be calculated,,,
C025,Arjun Verma,North,36-45,F,25-02-2023,09-09-2024,4,28384,7096,Electronics,None,To be calculated,,,
C026,Sai Verma,North,46-60,M,12-09-2023,14-12-2024,13,120718,9286,Clothing,Silver,To be calculated,,,
C027,Reyansh Verma,North,26-35,F,08-03-2024,05-12-2024,18,145422,8079,Electronics,Silver,To be calculated,,,
C028,Krishna Verma,North,60+,M,29-03-2024,16-12-2025,7,9296,1328,Electronics,None,To be calculated,,,
C029,Ishaan Verma,North,46-60,F,06-04-2023,29-01-2025,11,78738,7158,Beauty,Bronze,To be calculated,,,
C030,Shaurya Verma,North,46-60,M,07-08-2023,16-07-2025,4,12788,3197,Electronics,None,To be calculated,,,
C031,Ananya Verma,South,46-60,M,04-02-2024,27-02-2025,30,155190,5173,Grocery,Silver,To be calculated,,,
C032,Aadhya Verma,South,36-45,M,08-11-2024,12-10-2025,10,36110,3611,Clothing,None,To be calculated,,,
C033,Diya Verma,South,18-25,F,01-03-2023,08-12-2025,4,22552,5638,Electronics,None,To be calculated,,,
C034,Myra Verma,South,26-35,F,21-08-2024,02-10-2025,33,303633,9201,Electronics,Gold,To be calculated,,,
C035,Anika Verma,South,60+,F,04-06-2024,22-08-2024,12,19464,1622,Electronics,None,To be calculated,,,
C036,Sara Verma,South,60+,M,22-11-2024,27-01-2025,26,64064,2464,Clothing,Bronze,To be calculated,,,
C037,Kavya Verma,South,46-60,F,15-08-2024,16-08-2024,40,73720,1843,Grocery,Bronze,To be calculated,,,
C038,Riya Verma,South,26-35,F,01-08-2024,18-11-2025,21,100212,4772,Home,Silver,To be calculated,,,
C039,Ira Verma,South,36-45,F,02-09-2023,27-02-2025,26,68744,2644,Beauty,Bronze,To be calculated,,,
C040,Meera Verma,South,60+,M,20-11-2023,14-08-2024,1,8008,8008,Grocery,None,To be calculated,,,
C041,Aarav Gupta,South,60+,M,13-04-2023,15-08-2024,35,139720,3992,Home,Silver,To be calculated,,,
C042,Vivaan Gupta,South,36-45,M,16-05-2023,24-05-2025,5,22510,4502,Home,None,To be calculated,,,
C043,Aditya Gupta,South,60+,M,11-06-2023,23-08-2025,35,190960,5456,Grocery,Silver,To be calculated,,,
C044,Vihaan Gupta,South,26-35,M,09-01-2023,20-12-2025,20,43940,2197,Home,None,To be calculated,,,
C045,Arjun Gupta,South,26-35,M,29-04-2023,18-09-2024,48,459072,9564,Home,Gold,To be calculated,,,
C046,Sai Gupta,South,26-35,F,16-10-2023,02-01-2025,46,281382,6117,Home,Gold,To be calculated,,,
C047,Reyansh Gupta,South,18-25,F,01-06-2024,14-10-2025,17,22644,1332,Beauty,None,To be calculated,,,
C048,Krishna Gupta,South,26-35,F,11-10-2023,16-07-2024,1,5964,5964,Home,None,To be calculated,,,
C049,Ishaan Gupta,South,60+,M,15-06-2023,27-08-2025,36,270252,7507,Electronics,Gold,To be calculated,,,
C050,Shaurya Gupta,South,60+,M,25-04-2023,17-08-2024,45,132390,2942,Electronics,Silver,To be calculated,,,
C051,Ananya Gupta,South,26-35,F,14-01-2024,18-12-2025,10,75410,7541,Electronics,Bronze,To be calculated,,,
C052,Aadhya Gupta,South,26-35,M,12-11-2023,09-06-2025,3,19086,6362,Clothing,None,To be calculated,,,
C053,Diya Gupta,South,46-60,M,13-11-2024,14-11-2024,23,222479,9673,Grocery,Gold,To be calculated,,,
C054,Myra Gupta,South,46-60,F,08-06-2023,29-01-2025,11,37400,3400,Electronics,None,To be calculated,,,
C055,Anika Gupta,South,36-45,M,03-07-2023,07-05-2025,27,123255,4565,Clothing,Silver,To be calculated,,,
C056,Sara Gupta,South,46-60,M,19-12-2024,20-12-2024,25,28350,1134,Clothing,None,To be calculated,,,
C057,Kavya Gupta,South,26-35,F,24-07-2023,15-09-2025,23,126500,5500,Clothing,Silver,To be calculated,,,
C058,Riya Gupta,South,36-45,F,25-01-2023,15-12-2024,26,152828,5878,Electronics,Silver,To be calculated,,,
C059,Ira Gupta,South,46-60,M,13-10-2023,26-05-2025,42,371532,8846,Grocery,Gold,To be calculated,,,
C060,Meera Gupta,South,26-35,F,06-12-2023,29-06-2024,8,38232,4779,Grocery,None,To be calculated,,,
C061,Aarav Patel,East,36-45,M,29-09-2023,10-07-2024,7,53333,7619,Home,Bronze,To be calculated,,,
